document_number,full_name,date_of_birth,address,country
1,Stephany McGonigle,2022-08-01,442 Los Nogales,United States
2,Joe Doe,2022-08-01,223 Adam St,United States
3,Karen Hinojosa,2022-08-01,Penuelas 145,Mexico
4,Franz Hiedrig,2022-08-01,332 Weisstrasse,Germany
5,Monica Smith,2022-08-01,111 Rocky St,United States
6,Eduardo Salvado,2022-08-01,Ghiraldo 2139,Argentina
7,Adriana Straus,2022-08-01,Manzano 100,Argentina
8,Fabio Lopes,2022-08-01,Av Santa Tereza 674,Brazil
9,Elmer Paschoal,2022-08-01,Rua Sergio Milliet 679,Brazil
10,Ukko Iivonen,2022-08-01,Vanhamaantie 86,Finland
11,Adolfo Ruvalcaba,2022-08-01,Paseo de las lomas 123,Mexico
12,Brian Friedrick,2022-08-01,445 Creek St.,United States
